ClientId;DataExtracao;Score_Credito;Estado;GÃªnero;Idade;Tempo_Cliente;limite_credito_mercado;Qte_Categorias;Usa_Cartao_Credito;Programa_Fidelidade;sum_pedidos_acumulado;DataUltimaTransacao;churn
345654;30/06/2019;750;Rio de Janeiro;Masculino;22;3;1,216.82;1;1;0;536.01;17/08/2019;1
345655;30/06/2019;729;São Paulo;Masculino;30;9;0.;2;1;0;632.79;20/10/2019;0
345656;30/06/2019;646;São Paulo;Feminino;46;4;0.;3;1;0;388.55;24/07/2019;1
345657;30/06/2019;635;Minas Gerais;Feminino;28;3;816.24;2;1;1;653.3;17/10/2019;0
345658;30/06/2019;647;Rio de Janeiro;Feminino;44;5;0.;3;1;1;725.86;26/07/2019;1
345659;30/06/2019;808;São Paulo;Masculino;45;7;1,186.27;2;1;0;613.05;18/10/2019;0
345660;30/06/2019;524;São Paulo;Feminino;36;10;0.;2;1;0;456.73;11/10/2019;0
345661;30/06/2019;769;São Paulo;Masculino;29;8;0.;2;1;1;717.88;03/10/2019;0
345662;30/06/2019;730;Rio de Janeiro;Masculino;42;4;0.;2;0;1;358.26;10/10/2019;0
345663;30/06/2019;515;Rio de Janeiro;Masculino;35;10;1,762.74;1;0;1;505.32;17/10/2019;0
345664;30/06/2019;773;Rio de Janeiro;Masculino;41;9;1,028.27;1;0;1;269.15;24/10/2019;0
345665;30/06/2019;814;Minas Gerais;Masculino;29;8;970.86;2;1;1;821.98;04/10/2019;0
345666;30/06/2019;710;Rio de Janeiro;Masculino;22;8;0.;2;0;0;415.19;02/10/2019;0
345667;30/06/2019;413;São Paulo;Masculino;34;9;0.;2;0;0;27.23;07/10/2019;0
345668;30/06/2019;665;São Paulo;Feminino;40;6;0.;1;1;1;674.37;14/10/2019;0
345669;30/06/2019;623;São Paulo;Feminino;44;6;0.;2;0;0;696.51;16/10/2019;0
345670;30/06/2019;738;São Paulo;Masculino;31;9;826.74;1;1;0;174.88;23/10/2019;0
345671;30/06/2019;528;Rio de Janeiro;Masculino;36;7;0.;2;1;0;252.24;10/10/2019;0
345672;30/06/2019;670;Rio de Janeiro;Feminino;65;1;0.;1;1;1;740.23;26/08/2019;1
345673;30/06/2019;622;Rio de Janeiro;Feminino;46;4;1,070.73;2;1;1;129.1;19/08/2019;1
345674;30/06/2019;582;Minas Gerais;Masculino;32;1;889.39;1;1;1;41.89;28/10/2019;0
345675;30/06/2019;785;Minas Gerais;Feminino;36;2;998.07;1;0;1;154.07;28/10/2019;0
345676;30/06/2019;605;Rio de Janeiro;Masculino;33;5;1,500.93;1;0;0;299.43;15/10/2019;0
345677;30/06/2019;479;Minas Gerais;Masculino;35;9;928.34;1;1;0;414.37;16/07/2019;1
345678;30/06/2019;685;Minas Gerais;Masculino;30;3;905.37;1;0;1;262.85;14/10/2019;0
345679;30/06/2019;538;Minas Gerais;Masculino;39;7;1,080.55;2;1;0;113.46;06/10/2019;0
345680;30/06/2019;562;São Paulo;Masculino;42;2;1,002.38;1;0;0;361.66;29/10/2019;0
345681;30/06/2019;675;Rio de Janeiro;Masculino;36;9;1,061.91;1;0;1;95.81;12/10/2019;0
345682;30/06/2019;721;Minas Gerais;Masculino;28;9;1,544.76;2;0;1;422.09;30/07/2019;1
345683;30/06/2019;628;Minas Gerais;Feminino;30;9;1,323.51;2;1;1;309.04;23/10/2019;0
345684;30/06/2019;668;Minas Gerais;Feminino;37;6;1,678.64;1;1;0;481.83;25/10/2019;0
345685;30/06/2019;506;São Paulo;Feminino;41;1;0.;2;1;0;132.36;09/10/2019;0
345686;30/06/2019;524;Minas Gerais;Feminino;31;8;1,078.19;1;1;0;832.19;26/09/2019;1
345687;30/06/2019;699;Minas Gerais;Masculino;34;4;1,851.74;2;1;0;503.48;29/10/2019;0
345688;30/06/2019;828;São Paulo;Masculino;34;8;1,294.33;2;0;0;158.88;24/10/2019;0
345689;30/06/2019;674;Rio de Janeiro;Masculino;39;6;1,201.93;1;0;0;417.21;29/10/2019;0
345690;30/06/2019;656;São Paulo;Feminino;39;6;0.;2;1;0;587.79;17/10/2019;0
345691;30/06/2019;684;Minas Gerais;Feminino;48;10;1,263.84;1;1;1;825.54;25/10/2019;0
345692;30/06/2019;625;São Paulo;Feminino;28;3;0.;1;0;0;765.19;07/10/2019;0
345693;30/06/2019;432;São Paulo;Masculino;42;9;1,526.03;1;1;0;459.44;04/07/2019;1
345694;30/06/2019;549;São Paulo;Feminino;52;1;0.;1;0;1;35.98;22/07/2019;1
345695;30/06/2019;625;Minas Gerais;Masculino;56;0;1,485.07;1;1;0;195.1;24/09/2019;1
345696;30/06/2019;828;São Paulo;Feminino;41;7;0.;2;1;0;714.08;04/10/2019;0
345697;30/06/2019;770;São Paulo;Masculino;24;9;1,018.27;1;1;0;696.9;18/10/2019;0
345698;30/06/2019;758;São Paulo;Feminino;34;3;0.;2;1;1;517.61;26/10/2019;0
345699;30/06/2019;795;Minas Gerais;Feminino;33;9;1,308.62;1;1;1;478.9;01/10/2019;0
345700;30/06/2019;687;São Paulo;Masculino;38;9;1,225.71;1;1;1;148.37;19/10/2019;0
345701;30/06/2019;686;São Paulo;Masculino;25;1;0.;2;0;1;68.58;15/10/2019;0
345702;30/06/2019;789;Minas Gerais;Masculino;39;7;1,248.28;2;1;1;518.38;17/10/2019;0
345703;30/06/2019;589;Minas Gerais;Feminino;50;5;1,448.95;2;1;1;145.59;14/10/2019;0
345704;30/06/2019;461;Minas Gerais;Feminino;34;5;636.64;1;0;1;699.1;28/10/2019;0
345705;30/06/2019;637;São Paulo;Masculino;40;2;1,334.63;1;0;1;388.19;13/10/2019;0
345706;30/06/2019;584;Rio de Janeiro;Feminino;48;2;2,131.46;1;1;0;313.17;04/07/2019;1
345707;30/06/2019;579;Rio de Janeiro;Feminino;35;1;1,294.9;2;0;1;35.8;18/08/2019;1
345708;30/06/2019;756;Minas Gerais;Masculino;44;10;1,374.52;1;1;0;789.77;13/10/2019;0
345709;30/06/2019;663;São Paulo;Masculino;34;7;0.;2;1;1;751.78;10/10/2019;0
345710;30/06/2019;682;São Paulo;Feminino;43;5;1,258.52;1;1;1;805.49;23/10/2019;0
345711;30/06/2019;793;Rio de Janeiro;Masculino;52;2;0.;1;1;0;663.02;12/07/2019;1
345712;30/06/2019;691;São Paulo;Feminino;31;5;409.16;1;1;0;525.89;19/07/2019;1
345713;30/06/2019;485;Rio de Janeiro;Feminino;21;5;1,131.57;1;1;1;225.59;29/10/2019;0
345714;30/06/2019;635;Rio de Janeiro;Feminino;29;8;1,382.97;2;1;0;587.81;19/10/2019;0
345715;30/06/2019;650;São Paulo;Masculino;37;5;1,069.67;1;0;0;102.06;26/10/2019;0
345716;30/06/2019;735;São Paulo;Masculino;44;9;1,206.82;1;1;0;311.82;16/10/2019;0
345717;30/06/2019;416;São Paulo;Masculino;32;0;0.;2;0;1;3.66;23/10/2019;0
345718;30/06/2019;754;Rio de Janeiro;Feminino;32;7;0.;2;1;0;373.;27/10/2019;0
345719;30/06/2019;535;São Paulo;Feminino;48;9;0.;1;1;0;624.55;08/08/2019;1
345720;30/06/2019;716;Rio de Janeiro;Masculino;42;8;0.;2;1;0;753.34;20/10/2019;0
345721;30/06/2019;539;São Paulo;Masculino;37;2;1,276.1;1;1;0;411.03;17/10/2019;0
345722;30/06/2019;614;São Paulo;Feminino;43;6;0.;2;1;1;454.34;03/10/2019;0
345723;30/06/2019;706;Rio de Janeiro;Masculino;57;7;0.;1;1;0;74.75;28/08/2019;1
345724;30/06/2019;758;São Paulo;Feminino;33;7;0.;2;0;0;345.82;18/10/2019;0
345725;30/06/2019;586;Rio de Janeiro;Feminino;28;2;0.;2;1;1;383.61;02/10/2019;0
345726;30/06/2019;646;São Paulo;Feminino;73;6;972.59;1;0;1;436.33;22/10/2019;0
345727;30/06/2019;631;Minas Gerais;Feminino;33;4;1,232.47;1;0;0;469.53;30/10/2019;0
345728;30/06/2019;717;Rio de Janeiro;Feminino;22;6;1,010.6;1;0;1;352.91;12/10/2019;0
345729;30/06/2019;684;São Paulo;Masculino;30;2;0.;2;1;0;347.81;07/10/2019;0
345730;30/06/2019;800;São Paulo;Feminino;49;7;1,080.07;1;0;0;196.35;24/10/2019;0
345731;30/06/2019;721;Rio de Janeiro;Feminino;36;2;0.;2;1;1;445.74;14/10/2019;0
345732;30/06/2019;683;Rio de Janeiro;Masculino;29;0;1,337.03;1;1;0;231.59;06/08/2019;1
345733;30/06/2019;660;Minas Gerais;Masculino;31;9;1,251.9;2;1;1;582.81;12/10/2019;0
345734;30/06/2019;704;Minas Gerais;Feminino;24;7;1,130.34;1;1;0;677.1;04/08/2019;1
345735;30/06/2019;615;Rio de Janeiro;Feminino;41;9;1,090.13;1;1;0;818.75;04/10/2019;0
345736;30/06/2019;667;Rio de Janeiro;Feminino;39;2;0.;2;1;0;169.67;09/08/2019;1
345737;30/06/2019;682;Minas Gerais;Masculino;24;9;579.3;2;0;0;221.39;09/10/2019;0
345738;30/06/2019;484;São Paulo;Feminino;29;4;1,301.14;1;1;0;683.41;01/10/2019;0
345739;30/06/2019;628;Minas Gerais;Masculino;27;5;958.26;2;1;0;649.99;10/10/2019;0
345740;30/06/2019;480;Minas Gerais;Masculino;44;10;1,296.09;1;1;0;22.8;11/07/2019;1
345741;30/06/2019;578;São Paulo;Masculino;30;4;1,694.62;1;1;0;467.45;22/10/2019;0
345742;30/06/2019;512;São Paulo;Masculino;40;5;0.;2;1;1;610.24;29/10/2019;0
345743;30/06/2019;484;Rio de Janeiro;Feminino;35;7;1,338.68;1;1;1;113.69;20/10/2019;0
345744;30/06/2019;510;São Paulo;Feminino;30;0;0.;2;1;1;543.97;27/10/2019;0
345745;30/06/2019;606;Minas Gerais;Masculino;36;5;1,904.79;2;0;0;747.3;21/10/2019;0
345746;30/06/2019;597;Rio de Janeiro;Feminino;40;8;1,019.93;1;0;1;394.89;24/10/2019;0
345747;30/06/2019;754;Minas Gerais;Feminino;55;3;1,616.09;1;1;0;33.67;14/09/2019;1
345748;30/06/2019;850;Rio de Janeiro;Feminino;45;2;1,223.11;1;1;1;81.18;16/10/2019;0
345749;30/06/2019;510;São Paulo;Masculino;65;2;0.;2;1;1;200.3;29/10/2019;0
345750;30/06/2019;778;Minas Gerais;Feminino;45;1;1,621.5;2;1;0;727.21;17/10/2019;0
345751;30/06/2019;636;São Paulo;Masculino;42;2;0.;2;1;1;231.13;08/10/2019;0
345752;30/06/2019;804;São Paulo;Feminino;50;4;0.;1;1;1;35.61;18/08/2019;1
345753;30/06/2019;514;São Paulo;Masculino;32;8;0.;2;1;0;399.4;27/10/2019;0
345754;30/06/2019;730;São Paulo;Feminino;39;1;990.11;1;1;0;812.27;21/10/2019;0
345755;30/06/2019;525;Rio de Janeiro;Feminino;37;0;0.;1;0;1;548.01;08/10/2019;0
345756;30/06/2019;616;Rio de Janeiro;Masculino;30;5;0.;2;0;1;817.12;10/10/2019;0
345757;30/06/2019;687;Minas Gerais;Feminino;34;7;1,113.88;2;1;0;619.02;01/10/2019;0
345758;30/06/2019;715;São Paulo;Feminino;41;8;562.15;2;0;0;387.43;02/07/2019;1
345759;30/06/2019;512;São Paulo;Feminino;36;3;843.28;2;1;0;73.65;01/10/2019;0
345760;30/06/2019;479;São Paulo;Masculino;40;1;0.;2;0;0;479.15;14/10/2019;0
345761;30/06/2019;601;São Paulo;Masculino;32;8;930.13;1;1;0;362.32;03/10/2019;0
345762;30/06/2019;580;Rio de Janeiro;Masculino;29;9;617.1;2;1;0;533.66;23/10/2019;0
345763;30/06/2019;807;São Paulo;Masculino;35;3;1,747.9;1;1;1;2.5;10/10/2019;0
345764;30/06/2019;616;Rio de Janeiro;Feminino;32;6;0.;2;1;1;179.17;27/10/2019;0
345765;30/06/2019;721;Minas Gerais;Masculino;37;3;1,077.21;1;1;1;660.8;21/10/2019;0
345766;30/06/2019;501;São Paulo;Masculino;57;10;0.;2;1;1;199.36;11/10/2019;0
345767;30/06/2019;521;São Paulo;Masculino;35;6;964.24;1;1;0;43.7;01/10/2019;0
345768;30/06/2019;850;Rio de Janeiro;Masculino;30;2;1,410.4;1;1;1;24.91;03/10/2019;0
345769;30/06/2019;759;São Paulo;Masculino;42;4;1,054.2;1;0;1;505.87;28/10/2019;0
345770;30/06/2019;516;Rio de Janeiro;Masculino;50;5;0.;1;0;1;608.94;09/09/2019;1
345771;30/06/2019;711;São Paulo;Feminino;38;2;1,290.22;2;1;1;59.9;19/09/2019;1
345772;30/06/2019;512;Rio de Janeiro;Masculino;33;3;1,766.67;1;1;0;394.46;01/10/2019;0
345773;30/06/2019;550;São Paulo;Masculino;37;3;0.;1;1;1;748.63;03/10/2019;0
345774;30/06/2019;608;Rio de Janeiro;Feminino;41;3;897.64;1;0;0;830.44;03/08/2019;1
345775;30/06/2019;618;São Paulo;Masculino;34;5;1,349.55;1;1;1;633.14;28/10/2019;0
345776;30/06/2019;643;São Paulo;Masculino;45;5;0.;1;1;0;593.81;09/08/2019;1
345777;30/06/2019;671;São Paulo;Masculino;45;2;1,063.77;1;0;1;659.44;23/10/2019;0
345778;30/06/2019;689;Minas Gerais;Masculino;33;2;1,618.15;2;1;0;705.76;30/10/2019;0
345779;30/06/2019;603;São Paulo;Masculino;31;8;0.;2;1;1;707.98;29/10/2019;0
345780;30/06/2019;620;São Paulo;Feminino;41;9;0.;2;0;0;370.22;21/10/2019;0
345781;30/06/2019;676;São Paulo;Feminino;34;1;630.95;1;1;1;169.36;12/10/2019;0
345782;30/06/2019;572;Minas Gerais;Masculino;26;4;1,182.87;2;0;0;251.78;09/10/2019;0
345783;30/06/2019;668;Minas Gerais;Masculino;47;7;1,068.54;1;0;1;658.16;09/07/2019;1
345784;30/06/2019;695;São Paulo;Masculino;46;7;495.13;1;1;0;554.2;25/10/2019;0
345785;30/06/2019;730;Rio de Janeiro;Feminino;33;9;0.;2;0;0;735.74;20/10/2019;0
345786;30/06/2019;807;São Paulo;Masculino;43;1;1,057.99;2;1;0;145.37;21/07/2019;1
345787;30/06/2019;592;São Paulo;Masculino;54;8;0.;1;1;1;119.74;12/08/2019;1
345788;30/06/2019;726;São Paulo;Feminino;31;9;1,147.22;2;1;1;409.08;11/10/2019;0
345789;30/06/2019;514;Rio de Janeiro;Masculino;30;7;0.;1;0;1;520.88;17/10/2019;0
345790;30/06/2019;567;São Paulo;Masculino;42;2;0.;2;1;1;699.94;06/10/2019;0
345791;30/06/2019;850;São Paulo;Masculino;33;10;0.;1;1;0;20.26;10/08/2019;1
345792;30/06/2019;671;Minas Gerais;Masculino;45;6;995.64;1;1;1;453.64;02/09/2019;1
345793;30/06/2019;670;São Paulo;Masculino;37;4;1,705.58;2;1;0;826.05;26/10/2019;0
345794;30/06/2019;694;São Paulo;Feminino;30;9;0.;2;1;1;112.33;29/10/2019;0
345795;30/06/2019;547;Minas Gerais;Feminino;39;6;745.96;3;1;1;357.28;26/08/2019;1
345796;30/06/2019;751;Minas Gerais;Masculino;50;2;968.88;1;1;0;321.69;04/07/2019;1
345797;30/06/2019;594;Minas Gerais;Feminino;29;3;1,308.3;1;1;0;254.37;18/10/2019;0
345798;30/06/2019;673;São Paulo;Masculino;72;1;0.;2;0;1;466.59;21/10/2019;0
345799;30/06/2019;610;São Paulo;Masculino;40;0;0.;2;1;0;259.3;10/10/2019;0
345800;30/06/2019;512;São Paulo;Feminino;37;1;0.;2;0;1;650.44;24/10/2019;0
345801;30/06/2019;767;Minas Gerais;Masculino;20;3;1,197.14;2;0;1;625.56;19/10/2019;0
345802;30/06/2019;585;São Paulo;Feminino;67;5;1,139.79;2;0;1;388.11;27/10/2019;0
345803;30/06/2019;763;Minas Gerais;Masculino;42;6;1,001.61;1;1;0;139.43;13/08/2019;1
345804;30/06/2019;712;São Paulo;Feminino;29;2;0.;1;1;1;601.56;08/10/2019;0
345805;30/06/2019;539;Minas Gerais;Feminino;43;3;1,162.2;3;1;0;232.52;24/09/2019;1
345806;30/06/2019;668;São Paulo;Feminino;46;2;0.;3;1;0;371.04;14/07/2019;1
345807;30/06/2019;703;São Paulo;Masculino;28;2;811.74;2;0;1;678.38;08/10/2019;0
345808;30/06/2019;662;Rio de Janeiro;Masculino;38;4;0.;2;1;0;567.75;26/10/2019;0
345809;30/06/2019;725;Minas Gerais;Feminino;39;5;1,168.04;1;1;0;516.89;26/10/2019;0
345810;30/06/2019;703;São Paulo;Masculino;37;8;1,059.62;2;0;1;309.;23/10/2019;0
345811;30/06/2019;659;Minas Gerais;Masculino;67;6;1,174.12;1;1;1;187.8;29/08/2019;1
345812;30/06/2019;523;Rio de Janeiro;Masculino;34;7;0.;2;1;0;258.46;27/10/2019;0
345813;30/06/2019;635;São Paulo;Feminino;40;10;1,234.98;1;1;0;549.81;04/07/2019;1
345814;30/06/2019;772;Minas Gerais;Masculino;26;7;1,524.01;2;1;0;330.89;07/10/2019;0
345815;30/06/2019;545;São Paulo;Feminino;26;1;0.;2;1;1;831.83;18/10/2019;0
345816;30/06/2019;634;Minas Gerais;Masculino;24;8;1,030.98;1;1;1;656.57;23/10/2019;0
345817;30/06/2019;739;Minas Gerais;Masculino;54;8;1,264.18;1;1;0;560.09;06/08/2019;1
345818;30/06/2019;771;Minas Gerais;Feminino;36;5;778.47;1;0;0;415.86;09/10/2019;0
345819;30/06/2019;587;Rio de Janeiro;Feminino;34;1;0.;2;1;1;408.05;17/10/2019;0
345820;30/06/2019;681;São Paulo;Feminino;79;0;0.;2;0;1;712.37;19/10/2019;0
345821;30/06/2019;544;Minas Gerais;Masculino;37;2;797.32;1;1;1;239.83;16/10/2019;0
345822;30/06/2019;696;Rio de Janeiro;Masculino;28;8;0.;1;0;0;736.31;06/10/2019;0
345823;30/06/2019;766;Rio de Janeiro;Masculino;41;0;0.;2;0;1;142.85;14/10/2019;0
345824;30/06/2019;727;São Paulo;Masculino;34;10;0.;2;1;1;827.66;03/10/2019;0
345825;30/06/2019;671;Minas Gerais;Feminino;34;6;372.67;2;0;0;653.82;26/10/2019;0
345826;30/06/2019;693;São Paulo;Feminino;30;6;1,279.92;1;1;1;210.24;29/10/2019;0
345827;30/06/2019;850;Minas Gerais;Masculino;38;3;549.01;1;1;1;583.65;02/10/2019;0
345828;30/06/2019;732;Minas Gerais;Masculino;42;9;1,087.48;2;1;1;272.18;22/10/2019;0
345829;30/06/2019;726;Rio de Janeiro;Feminino;48;6;999.06;1;1;0;268.01;08/10/2019;0
345830;30/06/2019;557;São Paulo;Feminino;32;6;1,846.86;2;1;0;62.32;16/10/2019;0
345831;30/06/2019;682;São Paulo;Feminino;26;0;1,106.54;1;0;1;466.16;06/10/2019;0
